country,season,total_flights,departures,arrivals
Moldova,Autumn,4789.571428571428,2393.714285714286,2395.8571428571427
Montenegro,Winter,2092.285714285714,1046.5714285714287,1045.7142857142858
Montenegro,Spring,2390.4285714285716,1195.4285714285713,1195.0
Montenegro,Summer,3150.0,1574.2857142857142,1575.7142857142858
Montenegro,Autumn,2517.4285714285716,1259.4285714285713,1258.0
Morocco,Winter,22475.428571428572,11254.285714285714,11221.142857142857
Morocco,Spring,21874.85714285714,10937.857142857143,10937.0
Morocco,Summer,20629.14285714286,10321.42857142857,10307.714285714286
Morocco,Autumn,20859.85714285714,10421.42857142857,10438.42857142857
Netherlands,Winter,98831.85714285714,49410.0,49421.857142857145
Netherlands,Spring,110878.14285714286,55417.0,55461.142857142855
Netherlands,Summer,107983.85714285714,53992.28571428572,53991.57142857143
Netherlands,Autumn,104944.71428571429,52472.0,52472.71428571428
Norway,Winter,126127.57142857143,63050.857142857145,63076.71428571428
Norway,Spring,137963.14285714287,68952.71428571429,69010.42857142857
Norway,Summer,122046.85714285714,61002.0,61044.857142857145
Norway,Autumn,131093.2857142857,65542.57142857143,65550.71428571429
Poland,Winter,72326.14285714286,36154.0,36172.142857142855
Poland,Spring,76277.14285714286,38132.57142857143,38144.57142857143
Poland,Summer,84142.14285714286,42060.0,42082.142857142855
Poland,Autumn,78567.85714285714,39264.142857142855,39303.71428571428
Portugal,Winter,70136.57142857143,35079.28571428572,35057.28571428572
Portugal,Spring,82207.14285714286,41109.857142857145,41097.28571428572
Portugal,Summer,89621.28571428571,44822.142857142855,44799.142857142855
Portugal,Autumn,80492.71428571429,40256.71428571428,40236.0
Republic of North Macedonia,Winter,3120.0,1559.5714285714287,1560.4285714285713
Republic of North Macedonia,Spring,3358.1428571428573,1679.7142857142858,1678.4285714285713
Republic of North Macedonia,Summer,3815.8571428571427,1906.2857142857142,1909.5714285714287
Republic of North Macedonia,Autumn,3320.285714285714,1661.2857142857142,1659.0
Romania,Winter,22122.14285714286,11069.0,11053.142857142857
Romania,Spring,24246.428571428572,12127.42857142857,12119.0
Romania,Summer,24998.85714285714,12493.857142857143,12505.0
Romania,Autumn,23155.428571428572,11578.0,11577.42857142857
Serbia,Winter,11687.42857142857,5842.0,5845.428571428572
Serbia,Spring,12766.142857142857,6384.428571428572,6381.714285714285
Serbia,Summer,15408.0,7708.142857142857,7699.857142857143
Serbia,Autumn,12979.714285714286,6485.571428571428,6494.142857142857
Slovakia,Winter,3372.0,1682.857142857143,1689.142857142857
Slovakia,Spring,3711.285714285714,1851.2857142857142,1860.0
Slovakia,Summer,5289.428571428572,2640.714285714286,2648.714285714286
Slovakia,Autumn,4068.4285714285716,2030.4285714285713,2038.0
Slovenia,Winter,5194.142857142857,2592.5714285714284,2601.5714285714284
Slovenia,Spring,6299.285714285715,3140.8571428571427,3158.4285714285716
Slovenia,Summer,6920.428571428572,3454.5714285714284,3465.8571428571427
Slovenia,Autumn,5813.428571428572,2897.5714285714284,2915.8571428571427
Spain,Winter,335448.5714285714,167735.57142857142,167713.0
Spain,Spring,394460.0,197201.2857142857,197258.7142857143
Spain,Summer,438033.28571428574,219037.0,218996.2857142857
Spain,Autumn,383308.85714285716,191685.2857142857,191623.57142857142
Sweden,Winter,62953.28571428572,31472.571428571428,31480.714285714286
Sweden,Spring,69849.28571428571,34916.857142857145,34932.42857142857
Sweden,Summer,59932.28571428572,29965.714285714286,29966.571428571428
Sweden,Autumn,66852.57142857143,33422.28571428572,33430.28571428572
Switzerland,Winter,85330.57142857143,42671.42857142857,42659.142857142855
Switzerland,Spring,88083.42857142857,44050.857142857145,44032.57142857143
Switzerland,Summer,85012.42857142857,42525.57142857143,42486.857142857145
Switzerland,Autumn,80384.42857142857,40211.28571428572,40173.142857142855
Turkey,Winter,182666.0,91344.57142857143,91321.42857142857
Turkey,Spring,198471.2857142857,99212.71428571429,99258.57142857143
Turkey,Summer,223804.7142857143,111928.71428571429,111876.0
Turkey,Autumn,206618.57142857142,103304.71428571429,103313.85714285714
Ukraine,Winter,17052.14285714286,8526.714285714286,8525.42857142857
Ukraine,Spring,15552.42857142857,7773.857142857143,7778.571428571428
Ukraine,Summer,20123.428571428572,10065.857142857143,10057.57142857143
Ukraine,Autumn,19132.428571428572,9566.285714285714,9566.142857142857
United Kingdom,Winter,352927.5714285714,176433.57142857142,176494.0
United Kingdom,Spring,393907.14285714284,196886.85714285713,197020.2857142857
United Kingdom,Summer,390400.0,195183.42857142858,195216.57142857142
United Kingdom,Autumn,373012.28571428574,186525.42857142858,186486.85714285713
Europe,Winter,2824854.285714286,1412152.2857142857,1412702.0
Europe,Spring,3170743.1428571427,1584494.5714285714,1586248.5714285714
Europe,Summer,3340999.5714285714,1670039.2857142857,1670960.2857142857
Europe,Autumn,3100051.285714286,1549687.142857143,1550364.142857143
