country,season,total_flights,departures,arrivals
Albania,Winter,59.26289517470882,29.632279534109816,29.630615640599
Albania,Spring,57.44375,28.703125,28.740625
Albania,Summer,80.8876811594203,40.42391304347826,40.46376811594203
Albania,Autumn,69.9981684981685,35.01648351648352,34.98168498168498
Armenia,Winter,49.83194675540766,24.935108153078204,24.89683860232945
Armenia,Spring,49.35769828926905,24.696734059097977,24.66096423017107
Armenia,Summer,60.91304347826087,30.516304347826086,30.39673913043478
Armenia,Autumn,57.65567765567766,28.875457875457876,28.78021978021978
Austria,Winter,118.31090100111234,59.13654060066741,59.17436040044494
Austria,Spring,120.60748407643312,60.26486199575371,60.342622080679405
Austria,Summer,140.03532608695653,69.96286231884058,70.07246376811594
Austria,Autumn,136.61042183622828,68.2627171215881,68.3477047146402
Belgium,Winter,143.4831834831835,71.74925074925075,71.73393273393273
Belgium,Spring,146.95981161695448,73.4574568288854,73.50235478806907
Belgium,Summer,172.3721859114016,86.17937545388526,86.19281045751634
Belgium,Autumn,164.6102564102564,82.30952380952381,82.3007326007326
Bosnia and Herzegovina,Winter,23.420965058236273,11.70216306156406,11.718801996672212
Bosnia and Herzegovina,Spring,27.53481012658228,13.75632911392405,13.778481012658228
Bosnia and Herzegovina,Summer,37.95272727272727,18.974545454545453,18.978181818181817
Bosnia and Herzegovina,Autumn,29.987179487179485,15.021978021978022,14.965201465201465
Bulgaria,Winter,128.07986688851915,64.04825291181365,64.03161397670549
Bulgaria,Spring,128.08229813664596,64.12577639751552,63.95652173913044
Bulgaria,Summer,151.45652173913044,75.79347826086956,75.66304347826087
Bulgaria,Autumn,144.36446886446888,72.12454212454213,72.23992673992674
Croatia,Winter,74.24094707520891,37.14206128133705,37.098885793871865
Croatia,Spring,69.07918552036199,34.54977375565611,34.529411764705884
Croatia,Summer,70.52747252747253,35.28131868131868,35.246153846153845
Croatia,Autumn,71.33811230585424,35.65352449223417,35.68458781362007
Cyprus,Winter,57.43833333333333,28.735,28.703333333333333
Cyprus,Spring,82.69161920260375,41.31489015459724,41.37672904800651
Cyprus,Summer,122.3035551504102,61.133090246125796,61.170464904284415
Cyprus,Autumn,104.72410632447296,52.37121906507791,52.352887259395054
Czech Republic,Winter,79.285140562249,39.588576528335565,39.69656403391343
Czech Republic,Spring,80.2090395480226,40.03430185633575,40.17473769168684
Czech Republic,Summer,109.2086230876217,54.55818266110339,54.650440426518315
Czech Republic,Autumn,97.50705550329256,48.666039510818436,48.84101599247413
Denmark,Winter,524.5207986688852,262.2029950083195,262.31780366056574
Denmark,Spring,538.7950310559006,269.28105590062114,269.5139751552795
Denmark,Summer,607.2282608695652,303.5471014492754,303.6811594202899
Denmark,Autumn,619.9908424908425,309.93772893772893,310.0531135531136
Estonia,Winter,49.22841726618705,24.617805755395683,24.610611510791365
Estonia,Spring,51.05145797598628,25.52572898799314,25.52572898799314
Estonia,Summer,56.32887189292543,28.17017208413002,28.15869980879541
Estonia,Autumn,56.05172413793103,28.04022988505747,28.011494252873565
Finland,Winter,401.24625623960065,200.6322795341098,200.61397670549084
Finland,Spring,378.5605590062112,189.25465838509317,189.305900621118
Finland,Summer,391.7481884057971,195.57427536231884,196.17391304347825
Finland,Autumn,417.3260073260073,208.6043956043956,208.7216117216117
France,Winter,65.04943590906514,32.51176370542548,32.53767220363966
France,Spring,68.86700206053146,34.40041210629131,34.46658995424015
France,Summer,80.42243946458115,40.1909159272071,40.23152353737404
France,Autumn,74.3488506798366,37.161148710444486,37.18770196939211
Georgia,Winter,63.86189683860233,31.936772046589017,31.92512479201331
Georgia,Spring,68.3307453416149,34.13354037267081,34.1972049689441
Georgia,Summer,87.76811594202898,43.88949275362319,43.8786231884058
Georgia,Autumn,76.37912087912088,38.21611721611722,38.163003663003664
Germany,Winter,262.83622248218654,131.3039455492928,131.53227693289375
Germany,Spring,276.2420433004091,137.8708969370448,138.37114636336426
Germany,Summer,313.67052089295936,156.6145392100744,157.05598168288495
Germany,Autumn,316.99535585742484,158.28515035411587,158.71020550330894
Greece,Winter,50.184784137252144,25.06750105470398,25.117283082548166
Greece,Spring,70.35209308207916,35.137220184646516,35.214872897432656
Greece,Summer,146.78822544642858,73.36328125,73.42494419642857
Greece,Autumn,99.55185995623633,49.778847556528085,49.77301239970824
Hungary,Winter,225.37603993344425,112.76372712146423,112.61231281198003
Hungary,Spring,226.87111801242236,113.45496894409938,113.41614906832298
Hungary,Summer,274.3768115942029,137.19384057971016,137.18297101449275
Hungary,Autumn,256.0531135531136,128.02930402930403,128.02380952380952
Ireland,Winter,80.18301886792453,40.09056603773585,40.09245283018868
Ireland,Spring,85.8875027358284,42.925147734734075,42.96235500109433
Ireland,Summer,97.23119220194951,48.61234691327168,48.61884528867783
Ireland,Autumn,90.83210753233578,45.40578239918843,45.42632513314735
Israel,Winter,279.6547619047619,139.77380952380952,139.88095238095238
Israel,Spring,291.704347826087,145.7913043478261,145.91304347826087
Israel,Summer,353.3070652173913,176.66032608695653,176.64673913043478
Israel,Autumn,326.25824175824175,163.21978021978023,163.03846153846155
Italy,Winter,179.99190999873593,89.98976109215018,90.00214890658577
Italy,Spring,190.17775380558552,95.06052978544888,95.11722402013665
Italy,Summer,240.38636045371797,120.17420529337627,120.2121551603417
Italy,Autumn,222.53590292648107,111.27994289793006,111.25596002855103
Latvia,Winter,110.7591743119266,55.36811926605505,55.39105504587156
Latvia,Spring,103.69152196118488,51.84065372829418,51.850868232890704
Latvia,Summer,116.96008629989213,58.448759439050704,58.51132686084142
