country,year,total_flights,%_change
Netherlands,2019,558126,-0.36435562966044
Netherlands,2020,265943,-52.350723671715706
Netherlands,2021,313736,17.971144192552547
Netherlands,2022,177519,-43.4177142565724
Norway,2017,461413,-0.6303570659430546
Norway,2018,734691,59.2263330248606
Norway,2019,726795,-1.0747375427220374
Norway,2020,469920,-35.34352878046767
Norway,2021,507141,7.9207099080694565
Norway,2022,256316,-49.45863182034188
Poland,2017,386151,8.96277526327076
Poland,2018,428503,10.967730240242801
Poland,2019,443679,3.5416321472661716
Poland,2020,194403,-56.183862657461816
Poland,2021,238124,22.489879271410416
Poland,2022,133945,-43.74989501268247
Portugal,2017,411006,10.837661602187598
Portugal,2018,431889,5.080947723390894
Portugal,2019,442585,2.4765622648411867
Portugal,2020,193632,-56.24975993312019
Portugal,2021,255617,32.011754255494964
Portugal,2022,151657,-40.670221464143616
Republic of North Macedonia,2017,16404,7.779237844940878
Republic of North Macedonia,2018,17836,8.729578151670324
Republic of North Macedonia,2019,18845,5.657098004036776
Republic of North Macedonia,2020,8250,-56.22180949854072
Republic of North Macedonia,2021,13327,61.53939393939394
Republic of North Macedonia,2022,5418,-59.34568920237113
Romania,2017,120163,8.171146679149487
Romania,2018,127414,6.034303404542163
Romania,2019,129019,1.259673191329047
Romania,2020,56656,-56.08708794828669
Romania,2021,77637,37.032264896921774
Romania,2022,39685,-48.88390844571532
Serbia,2017,64080,1.0406811731314969
Serbia,2018,66466,3.723470661672912
Serbia,2019,70978,6.788433183883491
Serbia,2020,34129,-51.916086674744285
Serbia,2021,49367,44.6482463594011
Serbia,2022,21449,-56.55194765734195
Slovakia,2017,22210,6.009259701207581
Slovakia,2018,23906,7.636199909950481
Slovakia,2019,22593,-5.492345017987121
Slovakia,2020,9053,-59.930066834860355
Slovakia,2021,10980,21.28576162598035
Slovakia,2022,5395,-50.865209471766846
Slovenia,2017,33852,11.789181692094308
Slovenia,2018,35478,4.803261254874158
Slovenia,2019,32102,-9.515756243305706
Slovenia,2020,13159,-59.00878449940814
Slovenia,2021,16964,28.91557109202827
Slovenia,2022,7754,-54.2914406979486
Spain,2017,1961550,5.737494158037815
Spain,2018,2072032,5.632382554612425
Spain,2019,2118002,2.218595079612662
Spain,2020,894872,-57.7492372528449
Spain,2021,1254450,40.18205955712102
Spain,2022,702736,-43.9805492446889
Sweden,2017,374760,4.689459819595343
Sweden,2018,370848,-1.043868075568366
Sweden,2019,354070,-4.524225558719475
Sweden,2020,128809,-63.62047052842659
Sweden,2021,140520,9.09175601083776
Sweden,2022,90132,-35.858240819812124
Switzerland,2017,453076,0.4429389152208696
Switzerland,2018,458278,1.1481517449611012
Switzerland,2019,454627,-0.7966779989438733
Switzerland,2020,189556,-58.305160054286254
Switzerland,2021,223613,17.96672223511786
Switzerland,2022,141448,-36.744285886777604
Türkiye,2017,1014577,3.1352987697893964
Türkiye,2018,1067308,5.197338398169871
Türkiye,2019,1060929,-0.5976718997702579
Türkiye,2020,492743,-53.55551596760952
Türkiye,2021,738132,49.80060599541749
Türkiye,2022,323501,-56.17301512466605
Ukraine,2017,87593,17.797442138813047
Ukraine,2018,97248,11.022570296713209
Ukraine,2019,111042,14.18435340572557
Ukraine,2020,46973,-57.697988148628454
Ukraine,2021,75817,61.405488259212746
Ukraine,2022,9991,-86.82221665325717
United Kingdom,2017,2081431,2.659215838107243
United Kingdom,2018,2126049,2.143621383557748
United Kingdom,2019,2115593,-0.49180428108664964
United Kingdom,2020,817196,-61.37272150172552
United Kingdom,2021,811162,-0.7383785530031939
United Kingdom,2022,592783,-26.92174929298956
