country,year,total_flights,%_change,chart_type,season,departures,arrivals,airport,flight_type,flights
Georgia,2017.0,32220.0,35.236096537250795,country_trends,,,,,,
Georgia,2018.0,37959.0,17.811918063314703,country_trends,,,,,,
Georgia,2019.0,36165.0,-4.726151900734998,country_trends,,,,,,
Georgia,2020.0,10880.0,-69.91566431632793,country_trends,,,,,,
Georgia,2021.0,21280.0,95.58823529411764,country_trends,,,,,,
Georgia,2022.0,10208.0,-52.03007518796993,country_trends,,,,,,
Germany,2017.0,2048846.0,1.5746493452925003,country_trends,,,,,,
Germany,2018.0,2129836.0,3.95295693282951,country_trends,,,,,,
Germany,2019.0,2128687.0,-0.053947815700361446,country_trends,,,,,,
Germany,2020.0,875462.0,-58.8731457466504,country_trends,,,,,,
Germany,2021.0,969535.0,10.745526362080815,country_trends,,,,,,
Germany,2022.0,540966.0,-44.203561501131986,country_trends,,,,,,
Greece,2017.0,460571.0,4.481461652934549,country_trends,,,,,,
Greece,2018.0,504411.0,9.51861927911224,country_trends,,,,,,
Greece,2019.0,508450.0,0.8007359078211929,country_trends,,,,,,
Greece,2020.0,229559.0,-54.85121447536632,country_trends,,,,,,
Greece,2021.0,370780.0,61.51838960790037,country_trends,,,,,,
Greece,2022.0,133157.0,-64.08732941366848,country_trends,,,,,,
Hungary,2017.0,102266.0,6.813030717650381,country_trends,,,,,,
Hungary,2018.0,114474.0,11.937496333092135,country_trends,,,,,,
Hungary,2019.0,122132.0,6.689728672012851,country_trends,,,,,,
Hungary,2020.0,47770.0,-60.886581731241606,country_trends,,,,,,
Hungary,2021.0,54543.0,14.178354615867693,country_trends,,,,,,
Hungary,2022.0,35889.0,-34.200539024256095,country_trends,,,,,,
Ireland,2017.0,283374.0,3.399280444285524,country_trends,,,,,,
Ireland,2018.0,293961.0,3.7360520019479537,country_trends,,,,,,
Ireland,2019.0,301124.0,2.4367177958980912,country_trends,,,,,,
Ireland,2020.0,114483.0,-61.9814428607484,country_trends,,,,,,
Ireland,2021.0,116793.0,2.017766830009693,country_trends,,,,,,
Ireland,2022.0,95776.0,-17.995085321894287,country_trends,,,,,,
Israel,2019.0,166767.0,6.6107936020866065,country_trends,,,,,,
Israel,2020.0,54119.0,-67.54813602211469,country_trends,,,,,,
